a  阿 啊
ai  哎 哀 埃 挨 唉 癌 矮 蔼 艾 爱 嫒 暧 隘 碍
an  安 氨 鞍 庵 鹌 铵 俺 埯 岸 按 案 暗
ang  肮 昂 盎
ao  凹 遨 嗷 獒 熬 翱 拗 袄 坳 傲 奥 澳 懊
ba  八 扒 叭 巴 芭 吧 疤 捌 拔 跋 把 爸 罢
bai  掰 白 百 佰 伯 柏 摆 败 拜
ban  扳 颁 班 斑 般 搬 板 版 办 半 伴 扮 瓣
bang  邦 帮 梆 绑 榜 膀 棒 谤 磅 镑
bao  包 苞 胞 剥 煲 薄 饱 宝 保 堡 报 抱 暴 瀑 曝 爆
bei  杯 卑 碑 背 悲 北 贝 备 倍 焙 被 辈 臂
ben  奔 本 苯 笨
beng  崩 嘣 甭 绷 泵 迸 蚌 蹦
bi  逼 鼻 比 彼 笔 鄙 币 必 毕 闭 敝 弊 辟 壁 避 碧
bian  边 编 鞭 贬 扁 匾 变 便 遍 辩 辫 
biao  标 彪 膘 表 婊 裱 鳔
bie  瘪 憋 鳖 别
bin  宾 滨 缤 彬 斌 濒 殡 鬓
bing  冰 并 兵 丙 柄 炳 秉 饼 屏 禀 摒 病
bo  拨 波 玻 菠 剥 播 伯 泊 魄 驳 勃 脖 博 搏 薄 卜
bu  补 捕 哺 堡 不 布 怖 步 部 埠 簿 
ca  拆 擦 嚓 
cai  猜 才 材 财 裁 采 彩 睬 踩 菜 蔡
can  参 餐 残 蚕 惭 惨 灿
cang  仓 苍 沧 舱 藏
cao  操 糙 曹 嘈 草
ce  册 厕 侧 测 策
cen  参
ceng  噌 层 曾 蹭
cha  叉 杈 差 插 喳 茬 茶 搽 查 碴 察 衩 岔
chai  拆 钗 差 柴 豺
chan  掺 搀 婵 谗 馋 潺 缠 产 铲 阐 忏 颤
chang  昌 猖 长 场 肠 尝 偿 常 厂 敞 畅 倡 唱
chao  抄 吵 钞 超 朝 嘲 潮 炒
che  车 尺 扯 彻 掣 撤
chen  抻 琛 臣 辰 晨 尘 沉 陈 碜 衬 称 趁
cheng  称 铛 撑 成 诚 城 丞 呈 程 承 乘 惩 澄 逞 秤
chi  吃 痴 池 驰 迟 持 匙 尺 齿 耻 斥 赤 翅
chong  冲 充 虫 重 崇 宠
chou  抽 仇 筹 酬 愁 丑 瞅 臭
chu  出 初 雏 除 厨 锄 处 储 楚 畜 触
chuai  揣 踹 嘬
chuan  川 穿 传 船 喘 串 钏
chuang  创 疮 窗 床 闯
chui  吹 炊 垂 捶 锤 槌
chun  春 纯 唇 淳 鹑 醇 蠢
chuo  戳 龊 辍 绰
ci  刺 词 祠 雌 瓷 兹 慈 磁 辞 此 次 伺 赐
cong  匆 葱 苁 聪 从 丛 淙
cou  凑
cu  粗 猝 促 醋 簇
cuan  氽 撺 蹿 攒 窜 篡
cui  崔 催 摧 脆 萃 啐 淬 粹 翠
cun  村 存 寸
cuo  搓 蹉 撮 矬 挫 措 错
da  搭 答 达 打 大 瘩
dai  呆 待 歹 逮 傣 代 贷 袋 殆 怠 带 戴
dan  丹 担 单 眈 耽 胆 旦 但 诞 淡 氮 弹 蛋
dang  当 裆 挡 党 档 荡
dao  叨 刀 倒 导 岛 捣 祷 蹈 到 盗 悼 道 稻
de  得 德 地 的
dei  得
deng  灯 登 等 邓 凳 澄 瞪
di  低 堤 滴 笛 的 敌 涤 嘀 坻 抵 底 地 弟 递 第 帝 缔
dian  掂 颠 典 碘 点 踮 电 佃 店 惦 垫 奠 殿
diao  刁 叼 凋 碉 雕 貂 吊 钓 调 掉
die  爹 跌 谍 喋 牒 碟 蝶 叠
ding  丁 叮 盯 钉 顶 鼎 订 定 锭
diu  丢
dong  东 冬 董 懂 动 冻 栋 洞
dou  都 兜 斗 抖 蚪 陡 豆 逗 痘
du  都 嘟 督 毒 独 读 渎 肚 堵 赌 睹 杜 妒 度 渡 镀
duan  端 短 段 缎 煅 锻 断
dui  堆 队 对 兑 碓
dun  吨 敦 墩 蹲 盹 囤 炖 钝 顿 盾 遁
duo  多 哆 掇 夺 度 朵 垛 躲 驮 舵 堕 惰
